Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
S. Özcan,23,Germany,1. FC Köln,€6M,Right,6,180cm,74kg,CM,2023,Steffen Baumgart,1.64 Years
D. Ljubicic,23,Austria,1. FC Köln,€3.4M,Right,7,187cm,74kg,CDM,2025,Steffen Baumgart,1.64 Years
F. Kainz,28,Austria,1. FC Köln,€5.5M,Right,11,176cm,71kg,LM,2022,Steffen Baumgart,1.64 Years
19 M. Lehmann,35,Germany,1. FC Köln,€425K,Right,33,179cm,75kg,CDM,2019,Steffen Baumgart,1.64 Years
K. Ehizibue,26,Nigeria,1. FC Köln,€2.8M,Right,19,189cm,78kg,RB,2023,Steffen Baumgart,1.64 Years
L. Schaub,26,Austria,1. FC Köln,€4M,Left,21,177cm,70kg,CAM,2022,Steffen Baumgart,1.64 Years
J. Thielmann,19,Germany,1. FC Köln,€4M,Right,29,178cm,72kg,RM,2024,Steffen Baumgart,1.64 Years
A. Modeste,33,France,1. FC Köln,€1.9M,Right,27,187cm,84kg,ST,2023,Steffen Baumgart,1.64 Years
B. Schmitz,26,Germany,1. FC Köln,€1.7M,Right,2,182cm,75kg,CB,2022,Steffen Baumgart,1.64 Years
K. Schindler,27,Ghana,1. FC Köln,€1.3M,Right,17,180cm,77kg,RM,2023,Steffen Baumgart,1.64 Years
N. Hauptmann,25,Germany,1. FC Köln,€1.7M,Left,36,176cm,63kg,CAM,2023,Steffen Baumgart,1.64 Years
R. Czichos,31,Germany,1. FC Köln,€1.6M,Left,5,187cm,86kg,CB,2022,Steffen Baumgart,1.64 Years
J. Horn,24,Germany,1. FC Köln,€3.1M,Left,23,186cm,77kg,LB,2022,Steffen Baumgart,1.64 Years
S. Andersson,29,Sweden,1. FC Köln,€4.2M,Right,9,190cm,86kg,ST,2023,Steffen Baumgart,1.64 Years
T. Hübers,24,Germany,1. FC Köln,€2.4M,Right,4,190cm,82kg,CB,2023,Steffen Baumgart,1.64 Years
N. Katterbach,20,Germany,1. FC Köln,€3.7M,Left,3,178cm,73kg,LWB,2024,Steffen Baumgart,1.64 Years
Jorge Meré,24,Spain,1. FC Köln,€3.2M,Right,22,182cm,78kg,CB,2023,Steffen Baumgart,1.64 Years
T. Ostrák,21,Czech Republic,1. FC Köln,€800K,Right,31,176cm,75kg,CAM,2022,Steffen Baumgart,1.64 Years
21 F. Sørensen,28,Denmark,1. FC Köln,€1.9M,Right,30,194cm,88kg,CB,2021,Steffen Baumgart,1.64 Years
M. Sponsel,19,Germany,1. FC Köln,€900K,Right,39,189cm,81kg,RB,2024,Steffen Baumgart,1.64 Years
L. Kilian,21,Germany,1. FC Köln,€2.6M,Right,15,192cm,91kg,CB,30-Jun-22,Steffen Baumgart,1.64 Years
J. Castrop,17,Germany,1. FC Köln,€450K,Right,38,177cm,68kg,CAM,2023,Steffen Baumgart,1.64 Years
T. Lemperle,19,Germany,1. FC Köln,€1M,Right,25,187cm,80kg,RM,2023,Steffen Baumgart,1.64 Years
M. Obuz,19,Germany,1. FC Köln,€575K,Right,30,182cm,75kg,CAM,2024,Steffen Baumgart,1.64 Years
João Queirós,22,Portugal,1. FC Köln,€1.1M,Left,50,190cm,81kg,CB,2022,Steffen Baumgart,1.64 Years
S. Čestić,20,Germany,1. FC Köln,€2.1M,Right,26,192cm,87kg,CB,2024,Steffen Baumgart,1.64 Years
M. Schwäbe,26,Germany,1. FC Köln,€2M,Right,20,188cm,83kg,GK,2024,Steffen Baumgart,1.64 Years
T. Horn,28,Germany,1. FC Köln,€6.5M,Left,1,192cm,90kg,GK,2023,Steffen Baumgart,1.64 Years
20 T. Kessler,33,Germany,1. FC Köln,€950K,Right,18,197cm,92kg,GK,2020,Steffen Baumgart,1.64 Years
M. Köbbing,24,Germany,1. FC Köln,€170K,Right,44,196cm,90kg,GK,2024,Steffen Baumgart,1.64 Years
J. Urbig,17,Germany,1. FC Köln,€300K,Left,40,189cm,75kg,GK,2025,Steffen Baumgart,1.64 Years
21 G. Castro,33,Germany,VfB Stuttgart,€3.5M,Right,8,172cm,72kg,CAM,2021,Pellegrino Matarazzo,1.51 Years
W. Endo,28,Japan,VfB Stuttgart,€13.5M,Right,3,178cm,76kg,CDM,2024,Pellegrino Matarazzo,1.51 Years
O. Mangala,23,Belgium,VfB Stuttgart,€11.5M,Right,23,178cm,82kg,CM,2024,Pellegrino Matarazzo,1.51 Years
D. Didavi,31,Germany,VfB Stuttgart,€2.5M,Left,10,180cm,77kg,CAM,2022,Pellegrino Matarazzo,1.51 Years
Silas,22,Congo DR,VfB Stuttgart,€12.5M,Right,14,189cm,79kg,ST,2024,Pellegrino Matarazzo,1.51 Years
B. Sosa,23,Croatia,VfB Stuttgart,€15M,Left,24,187cm,79kg,LWB,2025,Pellegrino Matarazzo,1.51 Years
C. Führich,23,Germany,VfB Stuttgart,€4.8M,Right,22,178cm,69kg,RM,2025,Pellegrino Matarazzo,1.51 Years
P. Förster,26,Germany,VfB Stuttgart,€2.8M,Left,20,188cm,82kg,CAM,2023,Pellegrino Matarazzo,1.51 Years
P. Klement,28,Germany,VfB Stuttgart,€1.6M,Left,21,175cm,72kg,CAM,2023,Pellegrino Matarazzo,1.51 Years
P. Stenzel,25,Germany,VfB Stuttgart,€1.9M,Right,15,183cm,74kg,CDM,2024,Pellegrino Matarazzo,1.51 Years
E. Thommy,26,Germany,VfB Stuttgart,€2.6M,Right,11,175cm,71kg,RW,2022,Pellegrino Matarazzo,1.51 Years
S. Kalajdžić,23,Austria,VfB Stuttgart,€16M,Right,9,200cm,90kg,ST,2023,Pellegrino Matarazzo,1.51 Years
N. Nartey,21,Denmark,VfB Stuttgart,€2.3M,Right,28,185cm,81kg,RM,2023,Pellegrino Matarazzo,1.51 Years
M. Kempf,26,Germany,VfB Stuttgart,€8M,Left,4,186cm,87kg,CB,2022,Pellegrino Matarazzo,1.51 Years
W. Anton,24,Germany,VfB Stuttgart,€7M,Right,2,189cm,84kg,CB,2024,Pellegrino Matarazzo,1.51 Years
O. Marmoush,22,Egypt,VfB Stuttgart,€3.6M,Right,17,183cm,81kg,CAM,30-Jun-22,Pellegrino Matarazzo,1.51 Years
E. Millot,18,France,VfB Stuttgart,€2.4M,Left,8,175cm,64kg,CAM,2025,Pellegrino Matarazzo,1.51 Years
T. Coulibaly,20,France,VfB Stuttgart,€3.5M,Left,7,175cm,72kg,LM,2023,Pellegrino Matarazzo,1.51 Years
20 M. Gómez,33,Germany,VfB Stuttgart,€3.5M,Right,27,189cm,89kg,ST,2020,Pellegrino Matarazzo,1.51 Years
R. Massimo,20,Germany,VfB Stuttgart,€2.2M,Right,30,181cm,77kg,RM,2023,Pellegrino Matarazzo,1.51 Years
N. Ahamada,19,France,VfB Stuttgart,€1.4M,Right,32,183cm,73kg,CAM,2025,Pellegrino Matarazzo,1.51 Years
M. Klimowicz,20,Germany,VfB Stuttgart,€3.1M,Right,31,179cm,71kg,CAM,2024,Pellegrino Matarazzo,1.51 Years
C. Mola,20,England,VfB Stuttgart,€1.8M,Left,6,183cm,78kg,LB,2024,Pellegrino Matarazzo,1.51 Years
H. Ito,22,Japan,VfB Stuttgart,€825K,Left,37,186cm,78kg,CDM,2024,Pellegrino Matarazzo,1.51 Years
O. Beyaz,17,Turkey,VfB Stuttgart,€1.2M,Left,34,171cm,65kg,CAM,2025,Pellegrino Matarazzo,1.51 Years
K. Mavropanos,23,Greece,VfB Stuttgart,€6.5M,Right,5,194cm,89kg,CB,30-Jun-22,Pellegrino Matarazzo,1.51 Years
A. Karazor,24,Germany,VfB Stuttgart,€1.9M,Right,16,191cm,76kg,CB,2023,Pellegrino Matarazzo,1.51 Years
H. Al Ghaddioui,30,Germany,VfB Stuttgart,€1.2M,Right,18,190cm,90kg,ST,2022,Pellegrino Matarazzo,1.51 Years
J. Meyer,19,Germany,VfB Stuttgart,€550K,Right,35,181cm,73kg,CB,2025,Pellegrino Matarazzo,1.51 Years
W. Faghir,17,Denmark,VfB Stuttgart,€1.6M,Right,19,185cm,80kg,ST,2026,Pellegrino Matarazzo,1.51 Years
L. Egloff,18,Germany,VfB Stuttgart,€675K,Right,25,182cm,81kg,CAM,2024,Pellegrino Matarazzo,1.51 Years
M. Cissé,18,Guinea,VfB Stuttgart,€625K,Right,29,178cm,64kg,RM,2025,Pellegrino Matarazzo,1.51 Years
A. Kuol,19,South Sudan,VfB Stuttgart,€325K,Right,27,180cm,76kg,ST,2025,Pellegrino Matarazzo,1.51 Years
F. Müller,23,Germany,VfB Stuttgart,€13M,Left,1,190cm,88kg,GK,2025,Pellegrino Matarazzo,1.51 Years
F. Bredlow,26,Germany,VfB Stuttgart,€1.2M,Left,33,190cm,89kg,GK,2024,Pellegrino Matarazzo,1.51 Years
M. Kruse,33,Germany,Union Berlin,€16.5M,Left,10,180cm,76kg,CF,2022,Urs Fischer,2.10 Years
C. Trimmel,34,Austria,Union Berlin,€3.9M,Right,28,189cm,82kg,RWB,2024,Urs Fischer,2.10 Years
K. Möhwald,27,Germany,Union Berlin,€3.2M,Right,30,183cm,77kg,CM,2024,Urs Fischer,2.10 Years
L. Öztunalı,25,Germany,Union Berlin,€2.8M,Right,7,184cm,79kg,RM,2026,Urs Fischer,2.10 Years
B. Oczipka,32,Germany,Union Berlin,€1.3M,Left,20,185cm,85kg,LB,2024,Urs Fischer,2.10 Years
G. Prömel,26,Germany,Union Berlin,€2.9M,Right,21,184cm,81kg,CDM,2022,Urs Fischer,2.10 Years
A. Voglsammer,29,Germany,Union Berlin,€2.3M,Right,9,178cm,81kg,ST,2025,Urs Fischer,2.10 Years
N. Gießelmann,29,Germany,Union Berlin,€1.2M,Left,23,182cm,75kg,LB,2025,Urs Fischer,2.10 Years
G. Haraguchi,30,Japan,Union Berlin,€4.1M,Right,24,179cm,68kg,CAM,2026,Urs Fischer,2.10 Years
P. Wszołek,29,Poland,Union Berlin,€1.8M,Right,15,183cm,78kg,RM,2025,Urs Fischer,2.10 Years
T. Puchacz,22,Poland,Union Berlin,€2.6M,Left,26,180cm,74kg,LB,2025,Urs Fischer,2.10 Years
19 F. Schönheim,31,Germany,Union Berlin,€600K,Left,34,191cm,91kg,CB,2019,Urs Fischer,2.10 Years
S. Becker,26,Suriname,Union Berlin,€1.9M,Right,27,180cm,75kg,RW,2023,Urs Fischer,2.10 Years
T. Awoniyi,23,Nigeria,Union Berlin,€6.5M,Right,14,183cm,85kg,ST,2024,Urs Fischer,2.10 Years
K. Endo,23,Japan,Union Berlin,€2.1M,Right,18,175cm,66kg,RM,2024,Urs Fischer,2.10 Years
C. Teuchert,24,Germany,Union Berlin,€2.2M,Right,36,182cm,80kg,ST,2023,Urs Fischer,2.10 Years
R. Khedira,27,Germany,Union Berlin,€4.3M,Right,8,188cm,84kg,CB,2025,Urs Fischer,2.10 Years
M. Friedrich,25,Germany,Union Berlin,€15.5M,Right,5,192cm,81kg,CB,2022,Urs Fischer,2.10 Years
A. Ujah,30,Nigeria,Union Berlin,€1.6M,Right,11,180cm,81kg,ST,2022,Urs Fischer,2.10 Years
K. Behrens,30,Germany,Union Berlin,€1.8M,Right,17,184cm,84kg,ST,2024,Urs Fischer,2.10 Years
S. Abdullahi,24,Nigeria,Union Berlin,€1.4M,Right,39,185cm,86kg,ST,2022,Urs Fischer,2.10 Years
F. Schneider,18,Germany,Union Berlin,€475K,Right,35,184cm,73kg,CM,2022,Urs Fischer,2.10 Years
R. Knoche,29,Germany,Union Berlin,€6.5M,Right,31,190cm,77kg,CB,2025,Urs Fischer,2.10 Years
P. Jaeckel,22,Germany,Union Berlin,€3M,Right,3,188cm,80kg,CB,2024,Urs Fischer,2.10 Years
R. van Drongelen,22,Netherlands,Union Berlin,€3M,Left,4,185cm,81kg,CB,2024,Urs Fischer,2.10 Years
T. Baumgartl,25,Germany,Union Berlin,€2.9M,Right,25,190cm,89kg,CB,30-Jun-22,Urs Fischer,2.10 Years
L. Dehl,19,Germany,Union Berlin,€850K,Left,29,179cm,76kg,CAM,2022,Urs Fischer,2.10 Years
M. Bruns,17,Germany,Union Berlin,€375K,Right,37,192cm,75kg,CB,2025,Urs Fischer,2.10 Years
A. Luthe,34,Germany,Union Berlin,€1.3M,Right,1,195cm,85kg,GK,2024,Urs Fischer,2.10 Years
F. Rønnow,28,Denmark,Union Berlin,€3M,Right,19,190cm,80kg,GK,2025,Urs Fischer,2.10 Years
J. Busk,27,Denmark,Union Berlin,€875K,Right,12,189cm,88kg,GK,2022,Urs Fischer,2.10 Years
J. Dudziak,25,Tunisia,Greuther Fürth,€3.1M,Left,28,176cm,70kg,CAM,2024,Stefan Leitl,1.63 Years
J. Willems,27,Netherlands,Greuther Fürth,€2.9M,Left,15,177cm,87kg,LB,2025,Stefan Leitl,1.63 Years
P. Seguin,26,Germany,Greuther Fürth,€3.7M,Right,33,186cm,79kg,CM,2022,Stefan Leitl,1.63 Years
19 R. Hilbert,33,Germany,Greuther Fürth,€675K,Right,19,183cm,80kg,CDM,2019,Stefan Leitl,1.63 Years
H. Nielsen,27,Norway,Greuther Fürth,€2.5M,Right,16,187cm,82kg,ST,2022,Stefan Leitl,1.63 Years
N. Viergever,31,Netherlands,Greuther Fürth,€2.9M,Left,24,183cm,77kg,CB,2023,Stefan Leitl,1.63 Years
20 M. Caligiuri,35,Germany,Greuther Fürth,€725K,Right,13,180cm,75kg,CB,2020,Stefan Leitl,1.63 Years
A. Fein,22,Germany,Greuther Fürth,€4.5M,Right,6,187cm,78kg,CM,30-Jun-22,Stefan Leitl,1.63 Years
J. Green,26,United States,Greuther Fürth,€2.2M,Right,37,173cm,70kg,CAM,2022,Stefan Leitl,1.63 Years
16 Z. Lam,24,Germany,Greuther Fürth,€800K,Right,26,175cm,66kg,RWB,2017,Stefan Leitl,1.63 Years
M. Christiansen,24,Germany,Greuther Fürth,€1.7M,Right,13,185cm,82kg,CDM,2023,Stefan Leitl,1.63 Years
B. Hrgota,28,Sweden,Greuther Fürth,€3.1M,Left,10,185cm,76kg,ST,2024,Stefan Leitl,1.63 Years
N. Seufert,24,Germany,Greuther Fürth,€1.5M,Right,8,182cm,73kg,CM,2024,Stefan Leitl,1.63 Years
S. Griesbeck,30,Germany,Greuther Fürth,€2M,Right,22,189cm,85kg,CB,2026,Stefan Leitl,1.63 Years
L. Itter,22,Germany,Greuther Fürth,€2.3M,Left,27,183cm,76kg,LWB,30-Jun-22,Stefan Leitl,1.63 Years
C. Itten,24,Switzerland,Greuther Fürth,€3M,Right,19,189cm,81kg,ST,30-Jun-22,Stefan Leitl,1.63 Years
19 L. Ayçiçek,24,Germany,Greuther Fürth,€825K,Right,7,169cm,67kg,RM,2019,Stefan Leitl,1.63 Years
M. Meyerhöfer,25,Germany,Greuther Fürth,€2.9M,Right,18,179cm,74kg,RWB,2022,Stefan Leitl,1.63 Years
J. Leweling,20,Germany,Greuther Fürth,€2.9M,Right,40,184cm,86kg,RM,2024,Stefan Leitl,1.63 Years
G. Jung,26,Germany,Greuther Fürth,€1.2M,Right,23,189cm,76kg,CB,2023,Stefan Leitl,1.63 Years
J. Ngankam,20,Germany,Greuther Fürth,€2.7M,Right,17,182cm,80kg,ST,30-Jun-22,Stefan Leitl,1.63 Years
H. Sarpei,22,Ghana,Greuther Fürth,€1.7M,Right,14,178cm,72kg,CDM,2022,Stefan Leitl,1.63 Years
T. Tillman,22,Germany,Greuther Fürth,€1.6M,Right,21,183cm,74kg,CAM,2022,Stefan Leitl,1.63 Years
20 S. Parker,26,Germany,Greuther Fürth,€550K,Right,9,181cm,78kg,ST,2020,Stefan Leitl,1.63 Years
J. Hoogma,23,Netherlands,Greuther Fürth,€2.6M,Left,5,190cm,81kg,CB,30-Jun-22,Stefan Leitl,1.63 Years
E. Berggreen,28,Denmark,Greuther Fürth,€725K,Right,9,194cm,89kg,ST,2022,Stefan Leitl,1.63 Years
D. Abiama,22,Nigeria,Greuther Fürth,€2.3M,Right,11,184cm,79kg,ST,2024,Stefan Leitl,1.63 Years
R. Kehr,21,Germany,Greuther Fürth,€1.2M,Left,7,189cm,81kg,LM,2022,Stefan Leitl,1.63 Years
S. Asta,20,Germany,Greuther Fürth,€925K,Right,2,178cm,75kg,RB,2022,Stefan Leitl,1.63 Years
M. Bauer,21,Germany,Greuther Fürth,€2.9M,Right,4,189cm,84kg,CB,2022,Stefan Leitl,1.63 Years
M. Torlak,18,Germany,Greuther Fürth,€325K,Right,39,173cm,67kg,CAM,2022,Stefan Leitl,1.63 Years
A. Barry,21,France,Greuther Fürth,€1.2M,Right,32,185cm,78kg,CB,2022,Stefan Leitl,1.63 Years
E. Kratzer,21,Germany,Greuther Fürth,€300K,Right,29,178cm,66kg,RB,2023,Stefan Leitl,1.63 Years
S. Burchert,31,Germany,Greuther Fürth,€1.2M,Right,30,187cm,78kg,GK,2022,Stefan Leitl,1.63 Years
M. Funk,25,Germany,Greuther Fürth,€350K,Right,1,187cm,88kg,GK,2022,Stefan Leitl,1.63 Years
L. Schaffran,22,Germany,Greuther Fürth,€400K,Right,25,186cm,82kg,GK,2024,Stefan Leitl,1.63 Years
V. Kovalenko,25,Ukraine,Spezia Calcio,€4M,Right,8,182cm,75kg,CAM,30-Jun-22,Thiago Motta,0.56 Years
J. Sala,29,Italy,Spezia Calcio,€1.4M,Right,7,181cm,75kg,RB,2022,Thiago Motta,0.56 Years
K. Amian,23,France,Spezia Calcio,€3.9M,Right,27,180cm,78kg,CB,2026,Thiago Motta,0.56 Years
21 M. Ricci,26,Italy,Spezia Calcio,€2.3M,Right,8,176cm,68kg,CM,2021,Thiago Motta,0.56 Years
D. Verde,25,Italy,Spezia Calcio,€5.5M,Left,10,168cm,64kg,CAM,2022,Thiago Motta,0.56 Years
A. Reca,26,Poland,Spezia Calcio,€1.9M,Left,13,187cm,81kg,LM,30-Jun-22,Thiago Motta,0.56 Years
S. Bastoni,24,Italy,Spezia Calcio,€1.6M,Left,20,181cm,74kg,CM,2025,Thiago Motta,0.56 Years
G. Maggiore,23,Italy,Spezia Calcio,€2.7M,Right,25,184cm,69kg,CM,2023,Thiago Motta,0.56 Years
M. Bourabia,29,Morocco,Spezia Calcio,€1M,Right,6,183cm,73kg,CM,30-Jun-22,Thiago Motta,0.56 Years
K. Agudelo,22,Colombia,Spezia Calcio,€3.1M,Left,33,178cm,70kg,CAM,30-Jun-22,Thiago Motta,0.56 Years
L. Vignali,24,Italy,Spezia Calcio,€1.2M,Right,69,186cm,75kg,RB,2023,Thiago Motta,0.56 Years
M. Nzola,24,France,Spezia Calcio,€4M,Left,18,185cm,82kg,ST,2024,Thiago Motta,0.56 Years
19 P. Granoche,33,Uruguay,Spezia Calcio,€925K,Right,29,182cm,82kg,ST,2019,Thiago Motta,0.56 Years
E. Salcedo,19,Italy,Spezia Calcio,€3.8M,Right,29,178cm,74kg,RW,30-Jun-22,Thiago Motta,0.56 Years
Léo Sena,25,Brazil,Spezia Calcio,€900K,Right,88,175cm,71kg,CM,2024,Thiago Motta,0.56 Years
18 A. Gilardino,34,Italy,Spezia Calcio,€1.6M,Right,10,184cm,79kg,ST,2019,Thiago Motta,0.56 Years
R. Manaj,24,Albania,Spezia Calcio,€3.8M,Right,54,182cm,76kg,ST,30-Jun-22,Thiago Motta,0.56 Years
Salva Ferrer,23,Spain,Spezia Calcio,€1.5M,Right,21,184cm,73kg,RB,2023,Thiago Motta,0.56 Years
A. Sher,18,Sweden,Spezia Calcio,€925K,Right,31,175cm,65kg,CM,2026,Thiago Motta,0.56 Years
21 G. Mastinu,28,Italy,Spezia Calcio,€1M,Left,15,174cm,77kg,CAM,2021,Thiago Motta,0.56 Years
E. Gyasi,27,Ghana,Spezia Calcio,€1.1M,Right,11,181cm,70kg,RW,2023,Thiago Motta,0.56 Years
J. Antiste,18,France,Spezia Calcio,€2.6M,Right,22,182cm,77kg,ST,2026,Thiago Motta,0.56 Years
21 A. Galabinov,31,Bulgaria,Spezia Calcio,€850K,Right,9,192cm,88kg,ST,2021,Thiago Motta,0.56 Years
D. Strelec,20,Slovakia,Spezia Calcio,€875K,Left,44,185cm,75kg,ST,2026,Thiago Motta,0.56 Years
E. Colley,21,Gambia,Spezia Calcio,€2.3M,Right,19,182cm,75kg,ST,30-Jun-22,Thiago Motta,0.56 Years
M. Erlić,23,Croatia,Spezia Calcio,€2.4M,Right,28,193cm,88kg,CB,30-Jun-22,Thiago Motta,0.56 Years
D. Nikolaou,22,Greece,Spezia Calcio,€1.8M,Left,43,190cm,92kg,CB,2026,Thiago Motta,0.56 Years
E. Capradossi,24,Italy,Spezia Calcio,€1.6M,Left,13,185cm,78kg,CB,2023,Thiago Motta,0.56 Years
P. Hristov,22,Bulgaria,Spezia Calcio,€750K,Right,15,191cm,85kg,CB,2025,Thiago Motta,0.56 Years
J. Zoet,30,Netherlands,Spezia Calcio,€3.7M,Right,1,189cm,88kg,GK,2022,Thiago Motta,0.56 Years
I. Provedel,27,Italy,Spezia Calcio,€3.9M,Right,94,192cm,84kg,GK,2022,Thiago Motta,0.56 Years
20 D. Bassi,34,Italy,Spezia Calcio,€240K,Right,31,190cm,83kg,GK,2022,Thiago Motta,0.56 Years
21 Rafael,38,Brazil,Spezia Calcio,€210K,Right,77,187cm,80kg,GK,2021,Thiago Motta,0.56 Years
T. Krapikas,21,Lithuania,Spezia Calcio,€775K,Right,12,194cm,85kg,GK,2022,Thiago Motta,0.56 Years
P. Zovko,19,Bosnia and Herzegovina,Spezia Calcio,€425K,Left,40,192cm,80kg,GK,2024,Thiago Motta,0.56 Years
19 M. Pasqual,36,Italy,FC Empoli,€650K,Left,23,178cm,71kg,LWB,2019,Aurelio Andreazzoli,0.89 Years
S. Żurkowski,23,Poland,FC Empoli,€3.2M,Right,27,185cm,77kg,CDM,30-Jun-22,Aurelio Andreazzoli,0.89 Years
L. Štulac,26,Slovenia,FC Empoli,€2.8M,Right,5,175cm,70kg,CDM,2023,Aurelio Andreazzoli,0.89 Years
F. Bandinelli,26,Italy,FC Empoli,€1.8M,Left,25,180cm,74kg,CM,2022,Aurelio Andreazzoli,0.89 Years
N. Haas,25,Switzerland,FC Empoli,€2.1M,Right,32,181cm,74kg,CM,30-Jun-22,Aurelio Andreazzoli,0.89 Years
19 M. Brighi,37,Italy,FC Empoli,€275K,Right,4,178cm,77kg,CM,2019,Aurelio Andreazzoli,0.89 Years
F. Di Francesco,27,Italy,FC Empoli,€6M,Right,11,171cm,75kg,RM,2022,Aurelio Andreazzoli,0.89 Years
P. Stojanović,25,Slovenia,FC Empoli,€2.4M,Right,2,178cm,72kg,RWB,30-Jun-22,Aurelio Andreazzoli,0.89 Years
21 L. Antonelli,33,Italy,FC Empoli,€975K,Left,13,184cm,79kg,LB,2021,Aurelio Andreazzoli,0.89 Years
N. Bajrami,22,Switzerland,FC Empoli,€3.6M,Right,10,179cm,68kg,CAM,2024,Aurelio Andreazzoli,0.89 Years
L. Henderson,25,Scotland,FC Empoli,€1.7M,Right,8,183cm,76kg,CM,2026,Aurelio Andreazzoli,0.89 Years
S. Moreo,27,Italy,FC Empoli,€1.7M,Right,10,190cm,75kg,ST,2021,Aurelio Andreazzoli,0.89 Years
R. Fiamozzi,28,Italy,FC Empoli,€1.4M,Right,20,178cm,76kg,RB,30-Jun-22,Aurelio Andreazzoli,0.89 Years
L. Mancuso,29,Italy,FC Empoli,€2.3M,Right,7,182cm,77kg,ST,2023,Aurelio Andreazzoli,0.89 Years
S. Ricci,19,Italy,FC Empoli,€2.6M,Right,28,178cm,72kg,CM,2024,Aurelio Andreazzoli,0.89 Years
20 A. Picchi,21,Italy,FC Empoli,€900K,Left,19,186cm,74kg,CAM,2020,Aurelio Andreazzoli,0.89 Years
S. Luperto,24,Italy,FC Empoli,€2.7M,Left,33,191cm,75kg,CB,30-Jun-22,Aurelio Andreazzoli,0.89 Years
P. Cutrone,23,Italy,FC Empoli,€4.7M,Right,9,183cm,79kg,ST,30-Jun-22,Aurelio Andreazzoli,0.89 Years
G. Crociata,23,Italy,FC Empoli,€2.4M,Right,14,174cm,67kg,CAM,2024,Aurelio Andreazzoli,0.89 Years
F. Parisi,20,Italy,FC Empoli,€825K,Left,65,178cm,72kg,LWB,2023,Aurelio Andreazzoli,0.89 Years
19 L. Mchedlidze,28,Georgia,FC Empoli,€1.8M,Left,7,192cm,87kg,ST,2019,Aurelio Andreazzoli,0.89 Years
K. Asllani,19,Albania,FC Empoli,€500K,Right,23,175cm,68kg,CM,2025,Aurelio Andreazzoli,0.89 Years
A. Ismajli,24,Albania,FC Empoli,€3M,Right,34,185cm,76kg,CB,2025,Aurelio Andreazzoli,0.89 Years
A. Pinamonti,22,Italy,FC Empoli,€2.5M,Right,99,188cm,72kg,ST,30-Jun-22,Aurelio Andreazzoli,0.89 Years
L. Tonelli,31,Italy,FC Empoli,€2.1M,Right,26,183cm,75kg,CB,2025,Aurelio Andreazzoli,0.89 Years
R. Marchizza,23,Italy,FC Empoli,€2.3M,Left,3,186cm,80kg,CB,30-Jun-22,Aurelio Andreazzoli,0.89 Years
R. Pirrello,25,Italy,FC Empoli,€1.3M,Right,31,190cm,76kg,CB,2024,Aurelio Andreazzoli,0.89 Years
S. Romagnoli,31,Italy,FC Empoli,€1.3M,Right,6,193cm,85kg,CB,2022,Aurelio Andreazzoli,0.89 Years
K. Cannavò,20,Italy,FC Empoli,€500K,Right,97,180cm,70kg,ST,2022,Aurelio Andreazzoli,0.89 Years
20 A. Jakupović,21,Austria,FC Empoli,€350K,Left,49,186cm,81kg,ST,2021,Aurelio Andreazzoli,0.89 Years
M. Viti,19,Italy,FC Empoli,€1.3M,Left,42,190cm,81kg,CB,2025,Aurelio Andreazzoli,0.89 Years
21 D. Maietta,37,Italy,FC Empoli,€275K,Right,3,184cm,75kg,CB,2020,Aurelio Andreazzoli,0.89 Years
G. Vicario,24,Italy,FC Empoli,€3M,Right,13,188cm,76kg,GK,30-Jun-22,Aurelio Andreazzoli,0.89 Years
R. Haps,28,Suriname,Venezia,€7M,Left,87,175cm,66kg,LB,2024,Paolo Zanetti,1.22 Years
20 L. Lollo,28,Italy,Venezia,€1.8M,Right,25,180cm,75kg,RM,2021,Paolo Zanetti,1.22 Years
L. Fiordilino,24,Italy,Venezia,€1.6M,Right,16,177cm,68kg,CDM,2025,Paolo Zanetti,1.22 Years
J. Dezi,29,Italy,Venezia,€1.6M,Right,6,178cm,68kg,CM,2022,Paolo Zanetti,1.22 Years
G. Busio,19,United States,Venezia,€2.4M,Right,27,170cm,61kg,CAM,2024,Paolo Zanetti,1.22 Years
M. Aramu,26,Italy,Venezia,€2.8M,Left,10,180cm,69kg,CAM,2022,Paolo Zanetti,1.22 Years
20 F. Zuculini,28,Argentina,Venezia,€1.8M,Right,4,176cm,68kg,CM,2020,Paolo Zanetti,1.22 Years
P. Mazzocchi,25,Italy,Venezia,€1.4M,Right,7,180cm,74kg,RB,2023,Paolo Zanetti,1.22 Years
S. Kiyine,23,Morocco,Venezia,€1.9M,Right,88,182cm,75kg,CAM,30-Jun-22,Paolo Zanetti,1.22 Years
D. Heymans,22,Belgium,Venezia,€1.6M,Right,18,193cm,79kg,ST,2024,Paolo Zanetti,1.22 Years
C. Molinaro,37,Italy,Venezia,€300K,Left,3,182cm,82kg,LB,2024,Paolo Zanetti,1.22 Years
T. Henry,26,France,Venezia,€5M,Right,14,192cm,86kg,ST,2024,Paolo Zanetti,1.22 Years
G. Felicioli,22,Italy,Venezia,€1.2M,Left,14,180cm,77kg,LWB,2023,Paolo Zanetti,1.22 Years
A. Sigurðsson,22,Iceland,Venezia,€4.2M,Right,11,177cm,75kg,CF,30-Jun-22,Paolo Zanetti,1.22 Years
